ort,plz,landkreis,bundesland,lat,lon
Roetgen,52159,Städteregion Aachen,Nordrhein-Westfalen,50.6471603,6.1967728
Röfingen,89365,Landkreis Günzburg,Bayern,48.4235164,10.4432214
Rogätz,39326,Landkreis Börde,Sachsen-Anhalt,52.3176324,11.7683998
Roggenburg,89297,Landkreis Neu-Ulm,Bayern,48.276451,10.2300438
Roggendorf,19205,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern,53.6933223,11.0151476
Roggenstorf,23936,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern,53.9132044,11.0679277
Roggentin,18184,Landkreis Rostock,Mecklenburg-Vorpommern,54.0709472,12.2036057
Rögling,86703,Landkreis Donau-Ries,Bayern,48.8469253,10.9472031
Rögnitz,19205,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern,53.6124703,11.0237128
Röhl,54636,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,49.9377557,6.5829147
Rohlstorf,23821,Kreis Segeberg,Schleswig-Holstein,53.9718872,10.4081158
Rohr,91189,Landkreis Roth,Bayern,49.3414337,10.888306
Rohr,98530,Landkreis Schmalkalden-Meiningen,Thüringen,50.5787259,10.4999365
Rohrbach,85296,Landkreis Pfaffenhofen an der Ilm,Bayern,48.6154293,11.542653324133068
Rohrbach,55776,Landkreis Birkenfeld,Rheinland-Pfalz,49.5835452,7.257772
Rohrbach,55490,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,49.8875014,7.4209048
Rohrbach,76865,Landkreis Südliche Weinstraße,Rheinland-Pfalz,49.1371711,8.1316634
Rohrbach,07429,Landkreis Saalfeld-Rudolstadt,Thüringen,50.6036382,11.2202723
Rohrberg,38489,Altmarkkreis Salzwedel,Sachsen-Anhalt,52.7066051,11.0403477
Rohrberg,37318,Landkreis Eichsfeld,Thüringen,51.4115906,10.022482
Rohrdorf,72229,Landkreis Calw,Baden-Württemberg,48.5685543,8.6931813
Rohrdorf,83101,Landkreis Rosenheim,Bayern,47.7990707,12.1675812
Rohrenfels,86701,Landkreis Neuburg-Schrobenhausen,Bayern,48.6861619,11.1565067
Röhrig,37318,Landkreis Eichsfeld,Thüringen,51.3334137,10.0414179
Rohr i.NB,93352,Landkreis Kelheim,Bayern,48.7680977,11.9693562
Röhrmoos,85244,Landkreis Dachau,Bayern,48.328264,11.4558645
Röhrnbach,94133,Landkreis Freyung-Grafenau,Bayern,48.7395895,13.5224166
Rohrsen,31627,Landkreis Nienburg/Weser,Niedersachsen,52.7097142,9.233936
Roigheim,74255,Landkreis Heilbronn,Baden-Württemberg,49.3635412,9.3410856
Roklum,38325,Landkreis Wolfenbüttel,Niedersachsen,52.0669814,10.7418179
Röllbach,63934,Landkreis Miltenberg,Bayern,49.7722009,9.2472106
Rollshausen,37434,Landkreis Göttingen,Niedersachsen,51.5753425,10.2128251
Rollwitz,17309,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.4715953,13.9780158
Rom,19372,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern,53.4444081,11.9494091
Römerberg,67354,Rhein-Pfalz-Kreis,Rheinland-Pfalz,49.2803387,8.4007852
Römerstein,72587,Landkreis Reutlingen,Baden-Württemberg,48.5005944,9.534979
Römhild,98630,Landkreis Hildburghausen,Thüringen,50.3927584,10.5678277
Rommersheim,54597,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,50.1936797,6.4446925
Rommerskirchen,41569,Rhein-Kreis Neuss,Nordrhein-Westfalen,51.0333007,6.683337
Römnitz,23909,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.7113771,10.7690035
Romrod,36329,Vogelsbergkreis,Hessen,50.7145445,9.2187448
Römstedt,29591,Landkreis Uelzen,Niedersachsen,53.0956912,10.6495665
Rondeshagen,23919,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.751837,10.6288891
Ronneburg,63549,Main-Kinzig-Kreis,Hessen,50.227428,9.0493809
Ronneburg,07580,Landkreis Greiz,Thüringen,50.8630523,12.1809073
Ronnenberg,30952,Region Hannover,Niedersachsen,52.3166623,9.6532075
Ronsberg,87671,Landkreis Ostallgäu,Bayern,47.8965316,10.4144412
Ronshausen,36217,Landkreis Hersfeld-Rotenburg,Hessen,50.9347528,9.8728887
Rorodt,54411,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz,49.7690824,7.0499366
Rosa,98590,Landkreis Schmalkalden-Meiningen,Thüringen,50.7117649,10.2493695
Rosbach v. d. Höhe,61191,Wetteraukreis,Hessen,50.2774771,8.697439703088971
Roschbach,76835,Landkreis Südliche Weinstraße,Rheinland-Pfalz,49.2456857,8.1185258
Rosche,29571,Landkreis Uelzen,Niedersachsen,52.9868041,10.7522637
Roscheid,54619,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,50.1228249,6.1873573
Rosdorf,25548,Kreis Steinburg,Schleswig-Holstein,53.9776685,9.7272251
Rosdorf,37124,Landkreis Göttingen,Niedersachsen,51.5051949,9.8984285
Roseburg,21514,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.5314978,10.6265906
Rosenau,14789,Landkreis Potsdam-Mittelmark,Brandenburg,52.3408853,12.361184850432533
Rosenbach,02708,Landkreis Görlitz,Sachsen,51.0870285,14.738482
Rosenbach/Vogtland,08527,Vogtlandkreis,Sachsen,50.5309851,12.0171015
Rosenbach/Vogtland,08539,Vogtlandkreis,Sachsen,50.5309851,12.0171015
Rosenbach/Vogtland,08548,Vogtlandkreis,Sachsen,50.5309851,12.0171015
Rosenberg,74749,Neckar-Odenwald-Kreis,Baden-Württemberg,49.4571317,9.4738113
Rosenberg,73494,Ostalbkreis,Baden-Württemberg,49.0199639,10.0301733
Rosendahl,48720,Kreis Coesfeld,Nordrhein-Westfalen,52.0202372,7.196971
Rosendorf,07819,Saale-Orla-Kreis,Thüringen,50.7617768,11.788673
Rosenfeld,72348,Zollernalbkreis,Baden-Württemberg,48.2880909,8.7233324
Rosengarten,21224,Landkreis Harburg,Niedersachsen,53.3983771,9.9048979
Rosengarten,74538,Landkreis Schwäbisch Hall,Baden-Württemberg,49.0621554,9.7227502
Rosenheim,57520,Landkreis Altenkirchen,Rheinland-Pfalz,50.7122929,7.8500434
Rosenheim,83022,,Bayern,47.8539273,12.127262
Rosenheim,83024,,Bayern,47.8539273,12.127262
Rosenheim,83026,,Bayern,47.8539273,12.127262
Rosenkopf,66894,Landkreis Südwestpfalz,Rheinland-Pfalz,49.3460597,7.4335683
Rosenow,17091,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,53.6286829,13.0382434
Rosenthal,35119,Landkreis Waldeck-Frankenberg,Hessen,50.9860458,8.823919
Rosenthal am Rennsteig,07366,Saale-Orla-Kreis,Thüringen,50.4188166,11.70143222013976
Rosenthal-Bielatal,01824,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen,50.856069149999996,14.059330288071179
Rositz,04617,Landkreis Altenburger Land,Thüringen,51.0170897,12.3677012
Roskow,14778,Landkreis Potsdam-Mittelmark,Brandenburg,52.4730439,12.715434
Röslau,95195,Landkreis Wunsiedel im Fichtelgebirge,Bayern,50.0856342,11.9733918
Rösrath,51503,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,50.8963758,7.1825445
Rossau,09661,Landkreis Mittelsachsen,Sachsen,50.9980658,13.0477409
Roßbach,53547,Landkreis Neuwied,Rheinland-Pfalz,50.5750309,7.4161563
Roßbach,56271,Westerwaldkreis,Rheinland-Pfalz,50.6031662,7.680464
Roßbach,94439,Landkreis Rottal-Inn,Bayern,48.5987665,12.9393499
Roßdorf,64380,Landkreis Darmstadt-Dieburg,Hessen,49.8665,8.7643
Roßdorf,98590,Landkreis Schmalkalden-Meiningen,Thüringen,50.7026664,10.2163793
Roßhaupten,87672,Landkreis Ostallgäu,Bayern,47.6548133,10.7180643
Rossin,17398,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.7697796,13.7047265
Roßleben-Wiehe,06571,Kyffhäuserkreis,Thüringen,51.2914242,11.3965456
Rossow,17322,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.4733376,14.1276324
Roßtal,90574,Landkreis Fürth,Bayern,49.3977926,10.8849103
Roßwein,04741,Landkreis Mittelsachsen,Sachsen,51.0838863,13.2112442
Rostock,18055,,Mecklenburg-Vorpommern,54.0886707,12.1400211
Rostock,18057,,Mecklenburg-Vorpommern,54.0886707,12.1400211
Rostock,18059,,Mecklenburg-Vorpommern,54.0886707,12.1400211
Rostock,18069,,Mecklenburg-Vorpommern,54.0886707,12.1400211
Rostock,18106,,Mecklenburg-Vorpommern,54.0886707,12.1400211
Rostock,18107,,Mecklenburg-Vorpommern,54.0886707,12.1400211
Rostock,18109,,Mecklenburg-Vorpommern,54.0886707,12.1400211
Rostock,18119,,Mecklenburg-Vorpommern,54.0886707,12.1400211
Rostock,18146,,Mecklenburg-Vorpommern,54.0886707,12.1400211
Rostock,18147,,Mecklenburg-Vorpommern,54.0886707,12.1400211
Rostock,18181,,Mecklenburg-Vorpommern,54.0886707,12.1400211
Rostock,18182,,Mecklenburg-Vorpommern,54.0886707,12.1400211
Rot am See,74585,Landkreis Schwäbisch Hall,Baden-Württemberg,49.252745,10.0248517
Rot an der Rot,88430,Landkreis Biberach,Baden-Württemberg,48.0146714,10.0325434
Rotenburg,27356,Landkreis Rotenburg (Wümme),Niedersachsen,53.1108906,9.4049292
Rotenburg an der Fulda,36199,Landkreis Hersfeld-Rotenburg,Hessen,51.018118,9.7487639
Rotenhain,56459,Westerwaldkreis,Rheinland-Pfalz,50.5992767,7.8827232
Rötgesbüttel,38531,Landkreis Gifhorn,Niedersachsen,52.4150907,10.5296465
Roth,91154,Landkreis Roth,Bayern,49.2458557,11.0909712
Roth,57539,Landkreis Altenkirchen,Rheinland-Pfalz,50.7627346,7.7020663
Roth,56368,Rhein-Lahn-Kreis,Rheinland-Pfalz,50.2668456,7.8955191
Roth,56288,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,50.0862034,7.4564104
Roth,55442,Landkreis Bad Kreuznach,Rheinland-Pfalz,49.9427915,7.8013531
Rötha,04571,Landkreis Leipzig,Sachsen,51.1972196,12.417228
Roth an der Our,54675,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,49.9235299,6.2232179
Roth bei Prüm,54597,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,50.3088002,6.3835044
Rothemühl,17379,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.5947261,13.8219184
Rothenbach,56459,Westerwaldkreis,Rheinland-Pfalz,50.5638726,7.9004779
Röthenbach (Allgäu),88167,Landkreis Lindau,Bayern,47.6188349,9.9657583
Röthenbach an der Pegnitz,90552,Landkreis Nürnberger Land,Bayern,49.485011,11.2474853
Rothenbuch,63860,Landkreis Aschaffenburg,Bayern,49.9664178,9.3972959
Rothenbuch,97840,Landkreis Aschaffenburg,Bayern,49.9664178,9.3972959
Rothenburg ob der Tauber,91541,Landkreis Ansbach,Bayern,49.3772526,10.1790017
Rothenburg/Oberlausitz,02929,Landkreis Görlitz,Sachsen,51.3333094,14.9666932
Rothenfels,97851,Landkreis Main-Spessart,Bayern,49.8912549,9.5919615
Rothenklempenow,17321,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.5169008,14.2002958
Rothenklempenow,17322,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.5169008,14.2002958
Rothenstein,07751,Saale-Holzland-Kreis,Thüringen,50.8504189,11.6059951
Röthlein,97520,Landkreis Schweinfurt,Bayern,49.9833919,10.2161574
Rothselberg,67753,Landkreis Kusel,Rheinland-Pfalz,49.5471041,7.5934825
Rötsweiler-Nockenthal,55767,Landkreis Birkenfeld,Rheinland-Pfalz,49.7120785,7.2642225
Rott,57632,Landkreis Altenkirchen,Rheinland-Pfalz,50.6389308,7.5143303
Rott,86935,Landkreis Landsberg am Lech,Bayern,47.9049209,10.9695211
Rottach-Egern,83700,Landkreis Miesbach,Bayern,47.6909599,11.7707109
Rott am Inn,83543,Landkreis Rosenheim,Bayern,47.9827688,12.1277148
Rottenacker,89616,Alb-Donau-Kreis,Baden-Württemberg,48.2351044,9.6889429
Röttenbach,91187,Landkreis Roth,Bayern,49.1521236,11.0330296
Röttenbach,91341,Landkreis Erlangen-Höchstadt,Bayern,49.6665474,10.9275812
Rottenbuch,82401,Landkreis Weilheim-Schongau,Bayern,47.7330172,10.9654353
Rottenburg a. d. Laaber,84056,Landkreis Landshut,Bayern,48.7001539,12.0282878
Rottenburg am Neckar,72108,Landkreis Tübingen,Baden-Württemberg,48.47696,8.9336788
Rottendorf,97228,Landkreis Würzburg,Bayern,49.7921073,10.0259501
Rotthalmünster,94094,Landkreis Passau,Bayern,48.3588461,13.2015994
Röttingen,97285,Landkreis Würzburg,Bayern,49.511308,9.970905
Rottweil,78628,Landkreis Rottweil,Baden-Württemberg,48.1678244,8.626979
Rötz,92444,Landkreis Cham,Bayern,49.341854,12.5319894
Rövershagen,18182,Landkreis Rostock,Mecklenburg-Vorpommern,54.1749967,12.239515
Roxheim,55595,Landkreis Bad Kreuznach,Rheinland-Pfalz,49.8640635,7.8093258
Rubenow,17509,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,54.0994542,13.6987412
Rüber,56295,Landkreis Mayen-Koblenz,Rheinland-Pfalz,50.2923074,7.375254
Rubkow,17390,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,53.9346762,13.7223019
Rückeroth,56244,Westerwaldkreis,Rheinland-Pfalz,50.5589947,7.7435142
Rückersdorf,90607,Landkreis Nürnberger Land,Bayern,49.500002,11.2499976
Rückersdorf,03238,Landkreis Elbe-Elster,Brandenburg,51.5751139,13.5649482
Rückersdorf,07580,Landkreis Greiz,Thüringen,50.821221,12.2190339
Rückholz,87494,Landkreis Ostallgäu,Bayern,47.6586952,10.5420679
Rückweiler,55776,Landkreis Birkenfeld,Rheinland-Pfalz,49.5815082,7.2382022
Rudelzhausen,84104,Landkreis Freising,Bayern,48.5900798,11.7680309
Rüdenau,63924,Landkreis Miltenberg,Bayern,49.711653,9.1823607
Rüdenhausen,97355,Landkreis Kitzingen,Bayern,49.7650552,10.3422916
Ruderatshofen,87674,Landkreis Ostallgäu,Bayern,47.8179715,10.5898277
Rudersberg,73635,Rems-Murr-Kreis,Baden-Württemberg,48.8849825,9.5294671
Rüdersdorf bei Berlin,15345,Landkreis Märkisch-Oderland,Brandenburg,52.48371115,13.828850425584823
Rüdersdorf bei Berlin,15378,Landkreis Märkisch-Oderland,Brandenburg,52.48371115,13.828850425584823
Rüdersdorf bei Berlin,15562,Landkreis Märkisch-Oderland,Brandenburg,52.471293,13.784527
